Time_s,C3_Left_V,C3_Right_V,C4_Left_V,C4_Right_V
0.068,6.733042829091768e-07,-5.287630480537337e-07,6.328126040721486e-07,8.818972831751284e-08
0.072,1.050781783063218e-06,-4.21904180493433e-07,1.0449349485010783e-06,-1.7078405078795375e-08
0.076,1.499014215656182e-06,-8.236931151487881e-08,1.5015335115851717e-06,-6.45854186735019e-08
0.08,1.8248269775370593e-06,2.7086855344793636e-07,1.8292240276758775e-06,-1.0808307119553117e-07
0.084,1.7886671955028538e-06,4.197263704993722e-07,1.8084386027916139e-06,-2.0515123033687495e-07
0.088,1.2260306915502974e-06,2.6099484323460965e-07,1.2828782363953766e-06,-3.7908606830690663e-07
0.092,1.658593815885539e-07,-1.403031835608377e-07,2.7301714752805793e-07,-5.995707267101767e-07
0.096,-1.1240444817917552e-06,-5.877684623821608e-07,-9.737910818883904e-07,-7.963980982272612e-07
0.1,-2.2091139953564486e-06,-8.582562149090158e-07,-2.042459958483588e-06,-8.969422530160061e-07
0.104,-2.664462421292866e-06,-8.175816701802227e-07,-2.510719730022879e-06,-8.639572813430627e-07
0.108,-2.277704521190851e-06,-4.814590179276694e-07,-2.1442245603947007e-06,-7.083763981974476e-07
0.112,-1.1701390850389288e-06,8.701331833708902e-09,-1.0250462352712452e-06,-4.701590068020272e-07
0.116,2.3548103185300908e-07,4.7413457346360955e-07,4.6139966074595293e-07,-1.8421374016786993e-07
0.12,1.3992770058941271e-06,7.929815755207958e-07,1.7851620117925632e-06,1.4100767012692205e-07
0.124,1.9053143269979396e-06,9.413045069675825e-07,2.4979238200557575e-06,5.094214322891978e-07
0.128,1.6487143190495232e-06,9.67415377235989e-07,2.4264508224697582e-06,9.015356439138532e-07
0.132,8.646651261555508e-07,9.261267565641941e-07,1.7279473855137757e-06,1.2458716739944047e-06
0.136,-1.1533184375129547e-08,8.272332892280173e-07,7.839666515324647e-07,1.427957699716539e-06
0.14,-5.725232141932424e-07,6.351751084358191e-07,-2.0276932867440732e-10,1.3403817252515116e-06
0.144,-6.348597169586477e-07,3.1879181315244224e-07,-3.8509233234388363e-07,9.515848897361128e-07
0.148,-2.9774648456228607e-07,-9.092286198787834e-08,-3.774444783765133e-07,3.4611298895566853e-07
0.152,1.4818989113220433e-07,-4.855198717929022e-07,-1.7953267604843653e-07,-2.97779396883462e-07
0.156,4.0080550929348184e-07,-7.290975373024258e-07,-4.820745444564509e-08,-7.912137253194067e-07
0.16,3.082779752133662e-07,-7.473969198329335e-07,-1.5060251483704773e-07,-1.0332358287157778e-06
0.164,-7.828666229572514e-08,-5.922091932638625e-07,-4.986026423492822e-07,-1.060371214212991e-06
0.168,-5.748655876352793e-07,-4.295360643470241e-07,-9.816368978844559e-07,-1.0138572157855352e-06
0.172,-9.98800988165169e-07,-4.4697554733261225e-07,-1.457253211364585e-06,-1.038973846496048e-06
0.176,-1.2727942358075155e-06,-7.343291590516042e-07,-1.8268094279889658e-06,-1.1829063956699234e-06
0.18,-1.4370886531227094e-06,-1.209355796118963e-06,-2.0535539616939765e-06,-1.3550540859273083e-06
0.184,-1.5714260809212481e-06,-1.6472287943169633e-06,-2.1254797376467057e-06,-1.3837095362703533e-06
0.188,-1.6896544767918754e-06,-1.8016551680584953e-06,-2.0054755388037916e-06,-1.1371102990188317e-06
0.192,-1.6877863851744746e-06,-1.5505873847609717e-06,-1.6203808125687841e-06,-6.318996890078685e-07
0.196,-1.3902021918520144e-06,-9.76026062962629e-07,-9.084181205505258e-07,-5.1550567483006e-08
0.2,-6.701607821578707e-07,-3.2312005369326606e-07,1.0459948267476393e-07,3.48380121178311e-07
0.204,4.326777381085916e-07,1.412602066040558e-07,1.2605913201381065e-06,3.987689593095347e-07
0.208,1.6805507595677834e-06,2.84391708217401e-07,2.3021684650712037e-06,1.3878627545779815e-07
0.212,2.7175029232863276e-06,1.8370711787443176e-07,2.9728535767100085e-06,-1.8027862539963855e-07
0.216,3.2239047530243843e-06,7.594007650762955e-08,3.1303739970321937e-06,-2.227103100773329e-07
0.22,3.063451355764947e-06,2.0675035197003364e-07,2.808329605253451e-06,2.3441446020417184e-07
0.224,2.3393516156239875e-06,6.716320569112506e-07,2.1864044198092853e-06,1.1502998198409344e-06
